accuracy,auroc,elapsed_s,fn,fnr,fp,fpr,hard_neg_fpr,layer,n_seeds,overtrigger_fpr,probe_type,threshold,tn,tp,val_auroc,val_weighted_error,weighted_error
0.9523809523809523,1.0,70.42,2.0,0.11764705882352941,0.0,0.0,0.0,17,100,0.0,multimax,0.9981620907783508,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,86.59,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,attention,0.9976118803024292,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.68,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,ema,0.8243778944015503,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,29.93,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,linear,0.8243778944015503,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,98.38,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,max_rolling_mean,0.9976118803024292,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,57.52,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,mlp,0.9946752786636353,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,69.98,2.0,0.11764705882352941,0.0,0.0,0.0,18,100,0.0,multimax,0.997556209564209,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,87.71,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,attention,0.9978863596916199,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.74,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,ema,0.8313548564910889,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,30.42,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,linear,0.8313548564910889,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,102.32,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,max_rolling_mean,0.9978863596916199,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,58.25,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,mlp,0.9954387545585632,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,69.08,2.0,0.11764705882352941,0.0,0.0,0.0,19,100,0.0,multimax,0.9978418350219727,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,87.54,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,attention,0.9949637651443481,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.87,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,ema,0.8033009171485901,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,31.66,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,linear,0.8033009171485901,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,101.11,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,max_rolling_mean,0.9949637651443481,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,66.24,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,mlp,0.9903705716133118,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,72.7,2.0,0.11764705882352941,0.0,0.0,0.0,20,100,0.0,multimax,0.9948713779449463,25.0,15.0,1.0,0.0,0.5882352941176471
0.9523809523809523,1.0,86.78,2.0,0.11764705882352941,0.0,0.0,0.0,21,100,0.0,attention,0.995144248008728,25.0,15.0,1.0,0.0,0.5882352941176471
0.9761904761904762,1.0,31.83,1.0,0.058823529411764705,0.0,0.0,0.0,21,100,0.0,ema,0.8084065318107605,25.0,16.0,1.0,0.0,0.29411764705882354
